,accession_number,year,r,g,b
2588,D25343,1820,128,122,106
2589,D25344,1822,186,173,148
2590,D25345,1820,209,196,165
2591,D25346,1830,194,184,164
2592,D25347,1820,225,215,201
2593,D25348,1830,210,202,184
2594,D25349,1822,205,199,177
2595,D25350,1830,95,91,79
2596,D25351,1820,173,162,121
2597,D25352,1820,218,206,180
2598,D25353,1820,220,205,183
2599,D25354,1835,228,222,201
2600,D25355,1820,223,210,188
2601,D25356,1827,205,190,164
2602,D25357,1827,224,217,199
2603,D25358,1820,193,172,130
2604,D25359,1820,188,177,145
2605,D25360,1820,220,200,167
2606,D25361,1822,179,168,141
2607,D25362,1822,207,205,187
2608,D25363,1820,191,181,153
2609,D25364,1820,194,181,154
2610,D25365,1822,216,208,187
2611,D25366,1820,196,182,155
2612,D25367,1820,200,191,162
2613,D25368,1823,206,191,161
2614,D25369,1820,215,205,185
2615,D25370,1822,209,198,174
2616,D25371,1822,199,188,166
2617,D25372,1820,219,215,196
2618,D25373,1824,129,113,89
2619,D25374,1825,143,140,126
2620,D25375,1830,223,215,202
2621,D25376,1830,226,216,203
2622,D25377,1820,172,162,145
2623,D25378,1822,203,192,168
2624,D25379,1827,207,193,166
2625,D25380,1820,195,177,139
2626,D25381,1836,159,142,117
2627,D25382,1819,149,149,119
2628,D25383,1822,212,204,183
2629,D25384,1820,199,182,153
2630,D25385,1836,141,132,114
2631,D25386,1820,213,202,174
2632,D25387,1827,212,197,173
2633,D25388,1820,205,193,168
2634,D25389,1824,171,166,147
2635,D25390,1822,210,199,173
2636,D25391,1820,200,184,151
2637,D25392,1820,196,187,167
2638,D25393,1824,188,180,157
2639,D25394,1820,211,199,175
2640,D25395,1820,217,205,182
2641,D25396,1820,221,209,187
2642,D25397,1820,224,214,195
2643,D25398,1820,207,206,194
2644,D25399,1820,192,180,154
2645,D25400,1820,200,191,164
2646,D25401,1820,176,164,135
2647,D25402,1820,184,166,134
2648,D25403,1820,213,199,164
2649,D25404,1820,205,198,177
2650,D25405,1822,190,179,154
2651,D25406,1820,191,183,160
2652,D25407,1820,211,195,155
2653,D25408,1822,152,140,118
2654,D25409,1822,199,186,166
2655,D25410,1825,172,163,139
2656,D25411,1822,111,96,79
2657,D25412,1822,207,190,170
2658,D25413,1820,225,221,207
2659,D25414,1820,212,202,184
2660,D25415,1820,207,198,179
2661,D25416,1820,210,202,181
2662,D25417,1820,200,188,161
2663,D25418,1820,214,205,181
2664,D25419,1820,213,199,178
2665,D25420,1820,191,184,156
2666,D25421,1820,213,206,184
2667,D25422,1824,215,209,191
2668,D25423,1823,189,182,157
2669,D25424,1820,180,159,128
2670,D25425,1826,220,209,189
2671,D25426,1820,207,193,166
2672,D25427,1828,143,151,136
2673,D25428,1820,188,178,154
2674,D25429,1820,84,75,63
2675,D25430,1823,193,175,141
2676,D25431,1823,205,197,172
2677,D25432,1823,221,215,197
2678,D25433,1820,199,181,158
2679,D25434,1823,156,157,147
2680,D25435,1820,213,194,153
2681,D25436,1813,203,196,165
2682,D25437,1820,143,147,130
2683,D25438,1820,158,135,103
2684,D25439,1836,150,128,105
2685,D25440,1820,170,149,120
2686,D25441,1820,200,189,165
2687,D25442,1820,204,186,158
2688,D25443,1813,175,146,99
2689,D25444,1836,199,189,168
2690,D25446,1820,204,178,137
2691,D25447,1828,224,214,188
2692,D25448,1825,226,215,203
